reason,source_manufacturer,source_film_name,source_box_count,target_manufacturer,target_film_name,target_film_key,affected_rows
"fingerprint_unique_match","3M Fasara","3M FASARA ""ILLUMINA BLACK (GRADIENT) SH2BKIM","1","3M Fasara","""illumina BLACK (gradient) SH2BKIM","3M FASARA|""ILLUMINA BLACK (GRADIENT) SH2BKIM","1"
"fingerprint_unique_match","3M Fasara","3M Fasara Arpa Crystal SH2APCR","1","3M Fasara","Arpa Crystal SH2APCR","3M FASARA|ARPA CRYSTAL SH2APCR","1"
"fingerprint_unique_match","3M Fasara","3M Fasara Cross Hairline Sucre SH2CHSC","1","3M Fasara","Cross Hairline Sucre SH2CHSC","3M FASARA|CROSS HAIRLINE SUCRE SH2CHSC","1"
"fingerprint_unique_match","3M Fasara","3M Fasara Fabric Sagano SH2PTSA2","1","3M Fasara","Fabric Sagano SH2PTSA2","3M FASARA|FABRIC SAGANO SH2PTSA2","1"
"fingerprint_unique_match","3M Fasara","3M Fasara Fabric Weave Pearl Dk Gray SH2EMWG","1","3M Fasara","Fabric Weave Pearl Dk Gray SH2EMWG","3M FASARA|FABRIC WEAVE PEARL DK GRAY SH2EMWG","1"
"fingerprint_unique_match","3M Fasara","3M Fasara Frost Walnut Smoke SH2PTFWS","1","3M Fasara","Frost Walnut Smoke SH2PTFWS","3M FASARA|FROST WALNUT SMOKE SH2PTFWS","1"
"fingerprint_unique_match","3M Fasara","3M Fasara Vista Dot SH2FGVI","1","3M Fasara","Vista Dot SH2FGVI","3M FASARA|VISTA DOT SH2FGVI","1"
"fingerprint_unique_match","3M Fasara","3M Oslo SH-2EMOS","1","3M Fasara","3M Oslo SH2EMOS","3M FASARA|3M OSLO SH2EMOS","1"
"fingerprint_unique_match","3M Solar","3M NV 15 F168325129","1","3M Solar","NV 15 F168325129","3M SOLAR|NV 15 F168325129","1"
"fingerprint_unique_match","3M Solar","3M PR 50 60"" F2963235","1","3M Solar","PR 50 60"" F2963235","3M SOLAR|PR 50 60"" F2963235","1"
"fingerprint_unique_match","3M Solar","3M PR 50 72"" Transfered to MS","1","3M Solar","PR 50 72"" Transfered To MS","3M SOLAR|PR 50 72"" TRANSFERED TO MS","1"
"fingerprint_unique_match","3M Solar","3M PR 70 72"" B223557 - 3M PR 70 72"" B225324055 05324055 0","1","3M Solar","PR 70 72"" B223557 - 3M PR 70 72"" B225324055 05324055 0","3M SOLAR|PR 70 72"" B223557 - 3M PR 70 72"" B225324055 05324055 0","1"
"fingerprint_unique_match","3M Solar","3M PR50","1","3M Solar","PR 50","3M SOLAR|PR 50","1"
"fingerprint_unique_match","3M Solar","3M S40 Clear","1","3M Solar","S40 Clear","3M SOLAR|S40 CLEAR","1"
"fingerprint_unique_match","3M Solar","4006 3M Frosted Crystal","1","3M Solar","Frosted Crystal","3M SOLAR|FROSTED CRYSTAL","1"
"fingerprint_unique_match","3M Solar","4007 3M Frosted Crystal","1","3M Solar","Frosted Crystal","3M SOLAR|FROSTED CRYSTAL","1"
"fingerprint_unique_match","Llumar","LLumar Frost NRM PS2","1","Llumar","Frost NRMPS2","LLUMAR|FROST NRMPS2","1"
"fingerprint_unique_match","Llumar","LLUMAR FROST NRMPS2","1","Llumar","Frost NRMPS2","LLUMAR|FROST NRMPS2","1"
"fingerprint_unique_match","Llumar","Llumar V 51","1","Llumar","V51","LLUMAR|V51","1"
"fingerprint_unique_match","Solar Gard","SG DR TRUEVUE 05","1","Solar Gard","DR TRUEVUE 05","SOLAR GARD|DR TRUEVUE 05","1"
"fingerprint_unique_match","Solar Gard","SG Sentinel Plus SX50 EXT","1","Solar Gard","Sentinel Plus SX50 EXT","SOLAR GARD|SENTINEL PLUS SX50 EXT","1"
"fingerprint_unique_match","Solar Gard","SG SLATE 40 36"" MISSING","1","Solar Gard","SLATE 40 36"" MISSING","SOLAR GARD|SLATE 40 36"" MISSING","1"
"fingerprint_unique_match","Solar Gard","SG Slate 40 72"" (Box 1 of 2)","1","Solar Gard","Slate 40 72"" (box 1 Of 2)","SOLAR GARD|SLATE 40 72"" (BOX 1 OF 2)","1"
"fingerprint_unique_match","Solar Gard","SG True Vue 5","1","Solar Gard","Truevue 5","SOLAR GARD|TRUEVUE 5","1"
"fingerprint_unique_match","Solar Gard","SG Truevue 40 48"" (re-rolled a partial to 15')","1","Solar Gard","Truevue 40 48"" (re-rolled A Partial To 15')","SOLAR GARD|TRUEVUE 40 48"" (RE-ROLLED A PARTIAL TO 15')","1"
"fingerprint_unique_match","Solar Gard","SG Truevue 5","1","Solar Gard","Truevue 5","SOLAR GARD|TRUEVUE 5","1"
"fingerprint_unique_match","Solar Gard","Solar Guard Slate 10","1","Solar Gard","Slate 10","SOLAR GARD|SLATE 10","1"
"fingerprint_unique_match","Solar Gard","Solar Guard Truevue 05","1","Solar Gard","Truevue 05","SOLAR GARD|TRUEVUE 05","1"
"fingerprint_unique_match","Solyx","Solyx Antique Clear SX6020","1","Solyx","Antique Clear SX6020","SOLYX|ANTIQUE CLEAR SX6020","1"
"fingerprint_unique_match","Solyx","Solyx Antique Slvr. Mirr. Opaque First Surfc. SX6040","1","Solyx","Antique Slvr. Mirr. Opaque First Surfc. SX6040","SOLYX|ANTIQUE SLVR. MIRR. OPAQUE FIRST SURFC. SX6040","1"
"fingerprint_unique_match","Solyx","Solyx Big City Lights SX1523","1","Solyx","Big City Lights SX1523","SOLYX|BIG CITY LIGHTS SX1523","1"
"fingerprint_unique_match","Solyx","Solyx Bird Safety Film Dot (SX-BSFD)","1","Solyx","Bird Safety Film Dot (sx-bsfd)","SOLYX|BIRD SAFETY FILM DOT (SX-BSFD)","1"
"fingerprint_unique_match","Solyx","Solyx Blackout SXWF-BO","1","Solyx","Blackout SXWFBO","SOLYX|BLACKOUT SXWFBO","1"
"fingerprint_unique_match","Solyx","Solyx Cool Grey SX4500","1","Solyx","Cool Grey SX4500","SOLYX|COOL GREY SX4500","1"
"fingerprint_unique_match","Solyx","SOLYX Dual Feather Gradient SXJ-0591","1","Solyx","Dual Feather Gradient SXJ-0591","SOLYX|DUAL FEATHER GRADIENT SXJ-0591","1"
