org_id,manufacturer,film_name,film_key,source_count,source_manufacturer,source_film_name,has_film_signal
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Llumar,Glacier NRM55 PS4,LLUMAR|GLACIER NRM55 PS4,2,Llumar,Llumar Glacier NRM55 PS4,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Panorama Slate 40,SOLAR GARD|PANORAMA SLATE 40,2,Solar Gard,SG Panorama Slate 40,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Solar Gard Slate 40,SOLAR GARD|SOLAR GARD SLATE 40,2,Solar Gard,Solar Gard Slate 40,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,SX 50,SOLAR GARD|SX 50,2,Solar Gard,SG SX 50,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Truevue 15 PS HC,SOLAR GARD|TRUEVUE 15 PS HC,2,Solar Gard,Truevue 15 PS HC,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Acid Etch SOL SX3-314,SOLYX|ACID ETCH SOL SX3-314,2,Solyx,Acid Etch SOL SX3-314,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Acid Etch SX3314,SOLYX|ACID ETCH SX3314,2,Solyx,Solyx Acid Etch SX3314,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Alps SXC392,SOLYX|ALPS SXC392,2,Solyx,Solyx Alps SXC392,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Beach Grass SXJ-0545,SOLYX|BEACH GRASS SXJ-0545,2,Solyx,Beach Grass SXJ-0545,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Clear Luster SXWV0200,SOLYX|CLEAR LUSTER SXWV0200,2,Solyx,Solyx Clear Luster SXWV0200,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,DEEP ETCH SXGF-0097,SOLYX|DEEP ETCH SXGF-0097,2,Solyx,DEEP ETCH SXGF-0097,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Dual Misty Fost SXJ-0598 GRADIANT,SOLYX|DUAL MISTY FOST SXJ-0598 GRADIANT,2,Solyx,Solyx Dual Misty Fost SXJ-0598 GRADIANT,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Lineage Dual Frost. Grad. SXJ0599,SOLYX|LINEAGE DUAL FROST. GRAD. SXJ0599,2,Solyx,Solyx Lineage Dual Frost. Grad. SXJ0599,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,One Way Slv./gry SXSG09,SOLYX|ONE WAY SLV./GRY SXSG09,2,Solyx,Solyx One Way Slv./Gry SXSG09,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Shimera SX-3160,SOLYX|SHIMERA SX-3160,2,Solyx,Solyx Shimera SX-3160,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,SOL CHARCOAL MATTE SXWF-CM,SOLYX|SOL CHARCOAL MATTE SXWF-CM,2,Solyx,SOL CHARCOAL MATTE SXWF-CM,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,SOL TRANSPARENT WHITE MATTE SXWF-TWM,SOLYX|SOL TRANSPARENT WHITE MATTE SXWF-TWM,2,Solyx,SOL TRANSPARENT WHITE MATTE SXWF-TWM,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Static Cling Atlantis SXSC514,SOLYX|STATIC CLING ATLANTIS SXSC514,2,Solyx,Solyx Static Cling Atlantis SXSC514,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,SX-C376 Etchnwhite Random Lines,SOLYX|SX-C376 ETCHNWHITE RANDOM LINES,2,Solyx,Solyx SX-C376 Etchnwhite Random Lines,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,SXHP-2411 Vertical Stripes,SOLYX|SXHP-2411 VERTICAL STRIPES,2,Solyx,Solyx SXHP-2411 Vertical Stripes,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,SXWF-BO-60 Black Out,SOLYX|SXWF-BO-60 BLACK OUT,2,Solyx,SXWF-BO-60 Black Out,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,SXWF-WM White Matte,SOLYX|SXWF-WM WHITE MATTE,2,Solyx,Solyx SXWF-WM WHite matte,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,SXWF-WMAX WHITE MATTE MAX,SOLYX|SXWF-WMAX WHITE MATTE MAX,2,Solyx,SXWF-WMAX WHITE MATTE MAX,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Triangle Gradient SXJ0594,SOLYX|TRIANGLE GRADIENT SXJ0594,2,Solyx,Solyx Triangle Gradient SXJ0594,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,VERTICAL STRIPES SX-9200,SOLYX|VERTICAL STRIPES SX-9200,2,Solyx,VERTICAL STRIPES SX-9200,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,White Black Opaque SXWFWB,SOLYX|WHITE BLACK OPAQUE SXWFWB,2,Solyx,Solyx White Black Opaque SXWFWB,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,White Matte Max SXWFWMAX,SOLYX|WHITE MATTE MAX SXWFWMAX,2,Solyx,Solyx White Matte Max SXWFWMAX,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Wht/blk Opq. Adh. On White SXWFWB,SOLYX|WHT/BLK OPQ. ADH. ON WHITE SXWFWB,2,Solyx,Solyx Wht/Blk Opq. Adh. on White SXWFWB,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,"""illumina BLACK (gradient) SH2BKIM","3M FASARA|""ILLUMINA BLACK (GRADIENT) SH2BKIM",1,3M Fasara,"3M FASARA ""ILLUMINA BLACK (GRADIENT) SH2BKIM",true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Acid Etch SXC-314,3M FASARA|3M ACID ETCH SXC-314,1,3M Fasara,3M Acid Etch SXC-314,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Buck Pearl + Gray SH2FGBUG,3M FASARA|3M BUCK PEARL + GRAY SH2FGBUG,1,3M Fasara,3M Buck Pearl + Gray SH2FGBUG,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Cloud SH2FGCL,3M FASARA|3M CLOUD SH2FGCL,1,3M Fasara,3M Cloud SH2FGCL,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Emboss Cross Hairline Matte Light Gray SH2CHMAL,3M FASARA|3M EMBOSS CROSS HAIRLINE MATTE LIGHT GRAY SH2CHMAL,1,3M Fasara,3M Emboss Cross Hairline Matte Light Gray SH2CHMAL,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Frost Opaque Black SH2BKOP,3M FASARA|3M FROST OPAQUE BLACK SH2BKOP,1,3M Fasara,3M Frost Opaque Black SH2BKOP,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Gradient Sabrina SH2FGSB,3M FASARA|3M GRADIENT SABRINA SH2FGSB,1,3M Fasara,3M Gradient Sabrina SH2FGSB,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Grain Silver SH2CSGS,3M FASARA|3M GRAIN SILVER SH2CSGS,1,3M Fasara,3M Grain Silver SH2CSGS,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Lontano SH2FGLO,3M FASARA|3M LONTANO SH2FGLO,1,3M Fasara,3M Lontano SH2FGLO,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M San Marino Milky Milky Dark Gray SH2MAMMD,3M FASARA|3M SAN MARINO MILKY MILKY DARK GRAY SH2MAMMD,1,3M Fasara,3M San Marino Milky Milky Dark Gray SH2MAMMD,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M SH2-MAMM San Marino Milky Milky,3M FASARA|3M SH2-MAMM SAN MARINO MILKY MILKY,1,3M Fasara,3M SH2-MAMM San Marino Milky Milky,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Stripe-fine Vertical SH2FGFN,3M FASARA|3M STRIPE-FINE VERTICAL SH2FGFN,1,3M Fasara,3M Stripe-Fine Vertical SH2FGFN,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Venetian SH2FGVN,3M FASARA|3M VENETIAN SH2FGVN,1,3M Fasara,3M Venetian SH2FGVN,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Weave Pearl SH2EMWP,3M FASARA|3M WEAVE PEARL SH2EMWP,1,3M Fasara,3M Weave Pearl SH2EMWP,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,ALTAIR SH2FGAT,3M FASARA|ALTAIR SH2FGAT,1,3M Fasara,ALTAIR SH2FGAT,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Arpa Crystal SH2APCR,3M FASARA|ARPA CRYSTAL SH2APCR,1,3M Fasara,3M Fasara Arpa Crystal SH2APCR,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,AURA 9 SH2PCA9,3M FASARA|AURA 9 SH2PCA9,1,3M Fasara,AURA 9 SH2PCA9,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Cielo SH2FGCE,3M FASARA|CIELO SH2FGCE,1,3M Fasara,Cielo SH2FGCE,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,CLOUD SH2FGL,3M FASARA|CLOUD SH2FGL,1,3M Fasara,CLOUD SH2FGL,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Cross Hairline Sucre SH2CHSC,3M FASARA|CROSS HAIRLINE SUCRE SH2CHSC,1,3M Fasara,3M Fasara Cross Hairline Sucre SH2CHSC,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Fabric Sagano SH2PTSA2,3M FASARA|FABRIC SAGANO SH2PTSA2,1,3M Fasara,3M Fasara Fabric Sagano SH2PTSA2,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Fabric Weave Pearl Dk Gray SH2EMWG,3M FASARA|FABRIC WEAVE PEARL DK GRAY SH2EMWG,1,3M Fasara,3M Fasara Fabric Weave Pearl Dk Gray SH2EMWG,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Fasara SH2EMOS,3M FASARA|FASARA SH2EMOS,1,3M Fasara,Fasara SH2EMOS,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Fasara Yamato SH2PTYA,3M FASARA|FASARA YAMATO SH2PTYA,1,3M Fasara,Fasara Yamato SH2PTYA,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Frost Walnut Smoke SH2PTFWS,3M FASARA|FROST WALNUT SMOKE SH2PTFWS,1,3M Fasara,3M Fasara Frost Walnut Smoke SH2PTFWS,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Matte Crystal SH2MACRX2,3M FASARA|MATTE CRYSTAL SH2MACRX2,1,3M Fasara,Matte Crystal SH2MACRX2,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,PRISM SILVER SH2CSPS,3M FASARA|PRISM SILVER SH2CSPS,1,3M Fasara,PRISM SILVER SH2CSPS,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Rikyu SH2PTRK,3M FASARA|RIKYU SH2PTRK,1,3M Fasara,Rikyu SH2PTRK,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,RIKYU SH2TPTRK,3M FASARA|RIKYU SH2TPTRK,1,3M Fasara,RIKYU SH2TPTRK,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Vista Dot SH2FGVI,3M FASARA|VISTA DOT SH2FGVI,1,3M Fasara,3M Fasara Vista Dot SH2FGVI,true
