boxId,status,manufacturer,filmName,widthIn,initialFeet,feetAvailable,orderDate,receivedDate,lastCheckoutJob,lastCheckoutDate,zeroedDate,zeroedReason,zeroedBy
"IL1-5839","IN_STOCK","Security","3M Ultra S800","72","10","10","2023-07-31","2023-07-31","","","","",""
"IL1-5899","IN_STOCK","SOLYX","Blackout SXWFBO","46","5","5","2023-07-31","2023-07-31","","","","",""
"IL1-5908","IN_STOCK","Avery Dennison","Natura 30","72","20","20","2023-02-13","2023-02-13","","","","",""
"IL1-5924","IN_STOCK","Avery Dennison","Natura 30","48","15","15","2023-02-13","2023-02-13","","","","",""
"IL1-5957","IN_STOCK","3M Fasara","Glace SH2MAGL","50","6","6","2023-02-13","2023-02-13","","","","",""
"IL1-5987","IN_STOCK","Di-Noc","3M Di-Noc Carbon Black CA421","48","15","15","2023-02-13","2023-02-13","","","","",""
"IL1-6007","IN_STOCK","Llumar","Frost (NRM PS2)","60","62","62","2025-07-31","2025-07-31","","","","",""
"IL1-6090","IN_STOCK","3M Solar","Prestige 70","60","4","4","2023-07-31","2023-07-31","","","","",""
"IL1-6096","IN_STOCK","SOLYX","Fine Brushed SXL1017","60","6","6","2023-07-31","2023-07-31","","","","",""
"IL1-6104","IN_STOCK","Avery Dennison","E-Lite 70","36","40","40","2023-02-13","2023-02-13","","","","",""
"IL1-6211","IN_STOCK","3M Fasara","Chamonix SH2EMCH","50","7","7","2023-02-13","2023-02-13","","","","",""
"IL1-6225","IN_STOCK","Security","Madico Safetyshield 1500","60","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-6272","IN_STOCK","SOLYX","Xpel Intelligence 65 XVAS65","58","10","10","2023-07-31","2023-07-31","","","","",""
"IL1-6274","IN_STOCK","Vinyl","Oracal 751 White","48","9","9","2025-02-13","2025-02-13","","","","",""
"IL1-6278","IN_STOCK","3M Fasara","Feather Friendly Harmony","36","30","30","2023-02-13","2023-02-13","","","","",""
"IL1-6289","IN_STOCK","Security","3M S140","60","29","29","2023-07-31","2023-07-31","","","","",""
