boxId,status,manufacturer,filmName,widthIn,initialFeet,feetAvailable,orderDate,receivedDate,lastCheckoutJob,lastCheckoutDate,zeroedDate,zeroedReason,zeroedBy
"IL1-6740","IN_STOCK","Security","Madico Safetyshield 800","48","50","50","2023-07-31","2023-07-31","","","","",""
"IL1-6741","IN_STOCK","3M Solar","Night Vision 15","72","72","72","2023-07-31","2023-07-31","","","","",""
"IL1-6747","IN_STOCK","3M Solar","Prestige 20","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6748","IN_STOCK","3M Solar","Prestige 20","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6749","IN_STOCK","3M Solar","Prestige 20","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6751","IN_STOCK","Solar Gard","Truevue 15","48","40","40","2023-07-31","2023-07-31","","","","",""
"IL1-6753","IN_STOCK","Security","3M Ultra S800","72","2535","2535","2023-07-31","2023-07-31","","","","",""
"IL1-6754","IN_STOCK","SOLYX","SX-9100 Chicago","60","6","6","2023-07-31","2023-07-31","","","","",""
"IL1-6755","IN_STOCK","3M Fasara","Fusion Pearl SH2CSFP","50","6","6","2023-02-13","2023-02-13","","","","",""
"IL1-6761","IN_STOCK","Solar Gard","Slate 10","60","50","50","2023-07-31","2023-07-31","","","","",""
"IL1-6762","IN_STOCK","Security","3M AG-4","60","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-6769","IN_STOCK","Llumar","Uline One-Way Mirror","48","11","11","2025-07-31","2025-07-31","","","","",""
"IL1-6770","IN_STOCK","Security","3M S2400","36","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-6771","IN_STOCK","Security","Madico Safetyshield 800","60","46","46","2023-07-31","2023-07-31","","","","",""
"IL1-6772","IN_STOCK","3M Solar","RE35NEARL","60","35","35","2023-07-31","2023-07-31","","","","",""
"IL1-6773","IN_STOCK","SOLYX","Whiteout SXWF-WO","72","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6774","IN_STOCK","SOLYX","Casper Cloaking PF001-801","48","3","3","2023-07-31","2023-07-31","","","","",""
"IL1-6788","IN_STOCK","SOLYX","SX-3140 Dusted Crystal","48","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6793","IN_STOCK","SOLYX","Casper Cloaking PF001-801","48","13","13","2023-07-31","2023-07-31","","","","",""
"IL1-6795","IN_STOCK","3M Solar","Night Vision 15","72","72","72","2023-07-31","2023-07-31","","","","",""
"IL1-6797","IN_STOCK","SOLYX","Blackout SXWFBO","36","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-6800","IN_STOCK","SOLYX","Blackout SXWFBO","60","5","5","2023-07-31","2023-07-31","","","","",""
"IL1-6803","IN_STOCK","3M Fasara","Black Blockout Matte 3635-22B","48","41","41","2023-02-13","2023-02-13","","","","",""
"IL1-6804","IN_STOCK","3M Fasara","Glace SH2MAGL","50","98","98","2023-02-13","2023-02-13","","","","",""
"IL1-6805","IN_STOCK","Security","3M S70","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6812","IN_STOCK","3M Solar","Prestige 70 Exterior","72","80","80","2023-07-31","2023-07-31","","","","",""
"IL1-6813","IN_STOCK","SOLYX","Ultracool-s1560 Silver 15","60","8","8","2023-07-31","2023-07-31","","","","",""
"IL1-6814","IN_STOCK","3M Solar","Silver P-18","48","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-6815","IN_STOCK","SOLYX","1"" Reeded Glass SX-1255","60","8","7","2023-07-31","2023-07-31","","","","",""
"IL1-6820","IN_STOCK","3M Fasara","Chamonix SH2EMCH","50","15","15","2023-02-13","2023-02-13","","","","",""
"IL1-6826","IN_STOCK","3M Fasara","Fine Crystal SH2FNCR","50","10","10","2023-02-13","2023-02-13","","","","",""
"IL1-6827","IN_STOCK","SOLYX","Total Light Blockout White","60","95","95","2023-07-31","2023-07-31","","","","",""
"IL1-6828","IN_STOCK","SOLYX","Total Light Blockout White","60","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-6838","IN_STOCK","3M Solar","Prestige 70","60","7","7","2023-07-31","2023-07-31","","","","",""
"IL1-6839","IN_STOCK","3M Solar","Prestige 50","60","7","7","2023-07-31","2023-07-31","","","","",""
"IL1-6840","IN_STOCK","3M Fasara","Mist-W SH2FGMI-W","60","25","25","2023-02-13","2023-02-13","","","","",""
"IL1-6841","IN_STOCK","3M Fasara","Mist-W SH2FGMI-W","60","25","25","2023-02-13","2023-02-13","","","","",""
"IL1-6842","IN_STOCK","3M Fasara","Milky Crystal SH2MLCRX","50","10","10","2023-02-13","2023-02-13","","","","",""
"IL1-6843","IN_STOCK","SOLYX","SX-1000 Fine Cast Sand Blast","60","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-6845","IN_STOCK","3M Solar","Silver P-18","48","68","68","2023-07-31","2023-07-31","","","","",""
"IL1-6849","IN_STOCK","3M Solar","Prestige 70","72","52","52","2023-07-31","2023-07-31","","","","",""
"IL1-6850","IN_STOCK","Security","Solar Gard SG 7 MIL Graffiti Gard SRX","72","25","25","2023-07-31","2023-07-31","","","","",""
"IL1-6851","IN_STOCK","3M Fasara","Milky Milky Blue Gray SH2MAMMB","50","98","98","2023-02-13","2023-02-13","","","","",""
"IL1-6854","IN_STOCK","SOLYX","Frosted Stripes SXC-1418","60","70","70","2023-07-31","2023-07-31","","","","",""
"IL1-6859","IN_STOCK","SOLYX","White Dry Erase For Glass SX2029","59","14","14","2023-07-31","2023-07-31","","","","",""
"IL1-6860","IN_STOCK","SOLYX","MAGNETIC White Dry Erase For Glass SX2097","47","14","14","2023-07-31","2023-07-31","","","","",""
"IL1-6861","IN_STOCK","SOLYX","Dual Feather Gradient SXJ-0591","72","13","13","2023-07-31","2023-07-31","","","","",""
"IL1-6864","IN_STOCK","SOLYX","Sateen Etch SD-FS728-E","59","60","60","2023-07-31","2023-07-31","","","","",""
"IL1-6865","IN_STOCK","SOLYX","SX-3148 Gotham","60","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-6867","IN_STOCK","Security","Madico Safetyshield 1500","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6868","CHECKED_OUT","Security","Madico Safetyshield 1500","72","50","25","2023-07-31","2023-07-31","18811","2026-04-02","","",""
"IL1-6869","CHECKED_OUT","SOLYX","One Way Perf SX1940","60","30","0","2023-07-31","2023-07-31","18811","2026-04-02","","",""
"IL1-6870","CHECKED_OUT","Security","Madico Safety Clear 4 MIL CL400","60","75","5","2023-07-31","2023-07-31","18811","2026-04-02","","",""
"IL1-6873","IN_STOCK","3M Solar","Prestige 70","48","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6878","IN_STOCK","SOLYX","Dark Black SXP-014","60","6","5","2023-07-31","2023-07-31","","","","",""
"IL1-6879","IN_STOCK","SOLYX","Eco Dusted Crystal SX-3131","60","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-6880","IN_STOCK","Security","3M Ultra S800","60","100","100","2026-03-02","2026-03-04","","","","",""
"IL1-6889","IN_STOCK","Security","Madico Graffiti Free 6 MIL","48","100","100","2026-03-02","2026-03-04","","","","",""
"IL1-6890","IN_STOCK","Security","Madico Graffiti Free 6 MIL","48","100","100","2026-03-02","2026-03-04","","","","",""
"IL1-6891","IN_STOCK","Security","Madico Graffiti Free 6 MIL","48","100","100","2026-03-02","2026-03-04","","","","",""
"IL1-6892","IN_STOCK","Security","Madico Graffiti Free 6 MIL","48","50","50","2026-03-02","2026-03-04","","","","",""
"IL1-6894","IN_STOCK","Security","Madico Graffiti Free 6 MIL","72","100","66","2026-03-02","2026-03-04","","","","",""
"IL1-6895","IN_STOCK","Security","Madico Graffiti Free 6 MIL","72","25","25","2026-03-02","2026-03-04","","","","",""
"IL1-6896","IN_STOCK","SOLYX","SX-C380 Organic Etch Stripes","59","100","100","2026-03-02","2026-03-04","","","","",""
"IL1-6897","IN_STOCK","SOLYX","SX-C380 Organic Etch Stripes","59","28","28","2026-03-02","2026-03-04","","","","",""
"IL1-6903","IN_STOCK","SOLYX","SXR-8785 Safety Sand Blast","60","13","7","2026-03-02","2026-03-04","","","","",""
"IL1-6905","IN_STOCK","SOLYX","Eco Dusted Crystal SX-3131","60","80","80","2026-03-09","2026-03-11","","","","",""
"IL1-6911","IN_STOCK","3M Fasara","Slat Horizontal SH2FGSL","50","15","15","2026-03-11","2026-03-13","","","","",""
"IL1-6912","IN_STOCK","Security","3M Ultra S800","60","100","100","2026-03-11","2026-03-13","","","","",""
"IL1-6915","IN_STOCK","Llumar","RN 07 Refl. One Way Mirror","48","25","25","2026-03-23","2026-03-18","","","","",""
