boxId,manufacturer,filmName,widthIn,statusBefore,logId,warnings
"IL1-3709","Security","3M S2400","36","IN_STOCK","20260403024808461-683",""
"IL1-3710","Security","3M S2400","60","IN_STOCK","20260403024808721-301",""
"IL1-3739","Avery Dennison","R Silver 20X Poly","60","IN_STOCK","20260403024808977-959",""
"IL1-3793","Avery Dennison","DR Grey 10X","60","IN_STOCK","20260403024809248-880",""
"IL1-4019","Avery Dennison","Silver 20 EXTRM (exterior)","48","IN_STOCK","20260403024809507-191",""
"IL1-4035","Avery Dennison","- Silver 20 XRTM Exterior","60","IN_STOCK","20260403024809769-577",""
"IL1-4036","Avery Dennison","- Silver 20 XRTM Exterior","60","IN_STOCK","20260403024810016-914",""
"IL1-5049","Avery Dennison","Titan 07","60","IN_STOCK","20260403024810267-571",""
"IL1-5056","Avery Dennison","Titan 07","60","IN_STOCK","20260403024810521-012",""
"IL1-5068","Avery Dennison","E-Lite 70","60","IN_STOCK","20260403024810775-418",""
"IL1-5069","Avery Dennison","Titan 07","60","IN_STOCK","20260403024811036-681",""
"IL1-5075","3M Fasara","Feather Friendly Horizon","36","IN_STOCK","20260403024811301-562",""
"IL1-5076","3M Fasara","Feather Friendly Horizon","36","IN_STOCK","20260403024811563-072",""
"IL1-5090","3M Solar","Privacy Mirror","60","IN_STOCK","20260403024811822-839",""
"IL1-5115","Security","Avery Dennison Safety Clear 12 MIL","48","IN_STOCK","20260403024812079-737",""
"IL1-5160","Security","Avery Dennison Safety Matte 5 MIL R14811","60","IN_STOCK","20260403024812344-089",""
"IL1-5206","Vinyl","3M 7125 Dark Grey 41","48","IN_STOCK","20260403024812604-077",""
"IL1-5369","Solar Gard","Truevue 40","72","IN_STOCK","20260403024812861-885",""
"IL1-5381","Security","3M S2400","60","IN_STOCK","20260403024813121-260",""
"IL1-5382","Security","3M S2400","60","IN_STOCK","20260403024813382-711",""
"IL1-5390","SOLYX","SX-3140 Dusted Crystal","60","IN_STOCK","20260403024813639-271",""
"IL1-5452","3M Fasara","Frosted Crystal 7725-324","48","IN_STOCK","20260403024813903-428",""
"IL1-5691","3M Fasara","Essen SH2EMES","50","IN_STOCK","20260403024814164-605",""
"IL1-5839","Security","3M Ultra S800","72","IN_STOCK","20260403024814412-995",""
"IL1-5899","SOLYX","Blackout SXWFBO","46","IN_STOCK","20260403024814670-671",""
"IL1-5908","Avery Dennison","Natura 30","72","IN_STOCK","20260403024814930-106",""
"IL1-5924","Avery Dennison","Natura 30","48","IN_STOCK","20260403024815191-297",""
"IL1-5957","3M Fasara","Glace SH2MAGL","50","IN_STOCK","20260403024815465-803",""
"IL1-5987","Di-Noc","3M Di-Noc Carbon Black CA421","48","IN_STOCK","20260403024815730-933",""
"IL1-6007","Llumar","Frost (NRM PS2)","60","IN_STOCK","20260403024816000-453",""
"IL1-6090","3M Solar","Prestige 70","60","IN_STOCK","20260403024816259-119",""
"IL1-6096","SOLYX","Fine Brushed SXL1017","60","IN_STOCK","20260403024816533-232",""
"IL1-6104","Avery Dennison","E-Lite 70","36","IN_STOCK","20260403024816803-981",""
"IL1-6211","3M Fasara","Chamonix SH2EMCH","50","IN_STOCK","20260403024817063-005",""
"IL1-6225","Security","Madico Safetyshield 1500","60","IN_STOCK","20260403024817324-664",""
