"row_number","description","lot","box_id","id_token","width","raw_zeroed_date","original_known_date","inferred_zeroed_date","date_resolution_method"
"824","5948 - Madico Safetyshield 1500 60""","2.407230223E9","IL-5948","5948","60","","","2026-01-14","back_fill_from_next"
"825","5995 - 3M S140 SH14CLARL 60""","232J","IL-5995","5995","60","","","2026-01-14","back_fill_from_next"
"826","5674 - SG Truevue 15 72""","5.427189026E9","IL-5674","5674","72","","","2026-01-14","back_fill_from_next"
"827","3456 - SOLYX FINE BRUSHED  SXL-1017    60""","","IL-3456","3456","60","","","2026-01-14","back_fill_from_next"
"828","6008 - Llumar Frost NRM PS2 60""","404C048","IL-6008","6008","60","","","2026-01-14","back_fill_from_next"
"829","5903 - 3M Anti Graffiti AG-6 60""","230317(E)16","IL-5903","5903","60","","","2026-01-14","back_fill_from_next"
"830","5718 - Madico Safetyshield 1500 60""","2.329830159E9","IL-5718","5718","60","","","2026-01-14","back_fill_from_next"
"831","5362 - SG Truevue 05 48""","5.425711067E9","IL-5362","5362","48","","","2026-01-14","back_fill_from_next"
"832","5742 - Madico Safetyshield 800 48""","2.334230091E9","IL-5742","5742","48","","","2026-01-14","back_fill_from_next"
"833","5899 - Madico Safetyshield 800 72""","2.403630268E9","IL-5899","5899","72","","","2026-01-14","back_fill_from_next"
"834","6034 - 3M White Blockout Matte 3635-20 48""","M2406602","IL-6034","6034","48","","","2026-01-14","back_fill_from_next"
"835","5883 - Madico Safetyshield 1500 60""","2.40253031E9","IL-5883","5883","60","","","2026-01-14","back_fill_from_next"
"836","5884 - Madico Safetyshield 1500 60""","2.40253029E9","IL-5884","5884","60","","","2026-01-14","back_fill_from_next"
"837","5885 - Madico Safetyshield 1500 60""","2.402530272E9","IL-5885","5885","60","","","2026-01-14","back_fill_from_next"
"838","5886 - Madico Safetyshield 1500 60""","2.402530281E9","IL-5886","5886","60","","","2026-01-14","back_fill_from_next"
"839","5887 - Madico Safetyshield 1500 60""","2.402530299E9","IL-5887","5887","60","","","2026-01-14","back_fill_from_next"
"840","5888 - Madico Safetyshield 1500 60""","2.402530304E9","IL-5888","5888","60","","","2026-01-14","back_fill_from_next"
"841","5889 - Madico Safetyshield 1500 60""","2.402530297E9","IL-5889","5889","60","","","2026-01-14","back_fill_from_next"
"842","5890 - Madico Safetyshield 1500 72""","2.402530149E9","IL-5890","5890","72","","","2026-01-14","back_fill_from_next"
"843","5891 - Madico Safetyshield 1500 72""","2.402530142E9","IL-5891","5891","72","","","2026-01-14","back_fill_from_next"
"844","5896 - Madico 7 Mil Ext CL700E 60""","2.403630143E9","IL-5896","5896","60","","","2026-01-14","back_fill_from_next"
"845","5737 - Madico Safetyshield 800 60""","2.330630335E9","IL-5737","5737","60","","","2026-01-14","back_fill_from_next"
"846","5747 - Madico Safetyshield 800 60""","2.33423013E9","IL-5747","5747","60","","","2026-01-14","back_fill_from_next"
"847","5749 - Madico Safetyshield 800 60""","2.334230164E9","IL-5749","5749","60","","","2026-01-14","back_fill_from_next"
"848","5996 - 3M Fasara Dusted Crystal 7725-314 60""","G2407501","IL-5996","5996","60","","","2026-01-14","back_fill_from_next"
"849","5870 - Madico Safetyshield 1500 60""","2.333330146E9","IL-5870","5870","60","","","2026-01-14","back_fill_from_next"
"850","6039 - Solyx Dusted crystal SX3140 60""","","IL-6039","6039","60","","","2026-01-14","back_fill_from_next"
"851","6035 - 3M White Blockout Matte 3635-20 48""","M2406602","IL-6035","6035","48","","","2026-01-14","back_fill_from_next"
"852","2549 - 3M White Blockout Matte 48""","","IL-2549","2549","48","","","2026-01-14","back_fill_from_next"
"853","3853 - Llumar Frost NRM PS2 36""","","IL-3853","3853","36","","","2026-01-14","back_fill_from_next"
"854","5771 - Llumar Frost NRM PS2 36""","453L058","IL-5771","5771","36","","","2026-01-14","back_fill_from_next"
"855","6028 - Llumar Frost NRM PS2 72""","414D030","IL-6028","6028","72","","","2026-01-14","back_fill_from_next"
"856","5808 - 3M S140 SH14CLARL 60""","232j","IL-5808","5808","60","","","2026-01-14","back_fill_from_next"
"857","5263 - 3M Ultra S800 60""","D167324549","IL-5263","5263","60","","","2026-01-14","back_fill_from_next"
"858","6044 - 3M White Blockout Matte 3635-20 48""","L2409404","IL-6044","6044","48","","","2026-01-14","back_fill_from_next"
"859","3198 - 3M SH7 Interior 60""","202C6047","IL-3198","3198","60","","","2026-01-14","back_fill_from_next"
"860","5405 - Llumar Frost NRM PS2 48""","483H026","IL-5405","5405","48","","","2026-01-14","back_fill_from_next"
"861","5746 - Madico Safetyshield 800 60""","2.334230143E9","IL-5746","5746","60","","","2026-01-14","back_fill_from_next"
"862","4032 -  3M PR 70  36""","C235324385","IL-4032","4032","36","","","2026-01-14","back_fill_from_next"
